season,player,runs,balls,fours,sixes,strike_rate
2007/08,A Chopra,42,55,5,0,76.36
2007/08,A Kumble,13,17,1,0,76.47
2007/08,A Mishra,37,42,3,0,88.1
2007/08,A Mukund,0,1,0,0,0.0
2007/08,A Nehra,3,13,0,0,23.08
2007/08,A Symonds,161,111,15,9,145.05
2007/08,AA Noffke,9,12,1,0,75.0
2007/08,AB Agarkar,54,49,5,2,110.2
2007/08,AB Dinda,2,4,0,0,50.0
2007/08,AB de Villiers,95,100,5,1,95.0
2007/08,AC Gilchrist,436,328,51,19,132.93
2007/08,AD Mascarenhas,9,8,0,1,112.5
2007/08,AM Nayar,206,142,16,9,145.07
2007/08,AM Rahane,4,19,1,0,21.05
2007/08,AS Yadav,49,40,5,2,122.5
2007/08,Abdur Razzak,0,2,0,0,0.0
2007/08,B Akhil,46,32,4,3,143.75
2007/08,B Chipli,20,30,3,0,66.67
2007/08,B Lee,17,14,2,1,121.43
2007/08,BB McCullum,188,96,13,15,195.83
2007/08,BJ Hodge,12,18,2,0,66.67
2007/08,CK Kapugedera,16,24,0,0,66.67
2007/08,CL White,114,105,8,4,108.57
2007/08,CRD Fernando,2,1,0,0,200.0
2007/08,D Kalyankrishna,3,8,0,0,37.5
2007/08,D Salunkhe,33,24,5,0,137.5
2007/08,DB Das,103,95,9,5,108.42
2007/08,DB Ravi Teja,109,85,10,5,128.24
2007/08,DJ Bravo,178,137,19,5,129.93
2007/08,DJ Hussey,319,267,19,17,119.48
2007/08,DJ Thornely,39,54,2,2,72.22
2007/08,DNT Zoysa,11,9,1,0,122.22
2007/08,DP Vijaykumar,1,1,0,0,100.0
2007/08,DPMD Jayawardene,179,138,15,7,129.71
2007/08,DR Smith,45,41,5,1,109.76
2007/08,DS Kulkarni,2,17,0,0,11.76
2007/08,DS Lehmann,18,19,3,0,94.74
2007/08,DT Patil,13,13,1,0,100.0
2007/08,DW Steyn,2,5,0,0,40.0
2007/08,G Gambhir,534,394,68,8,135.53
2007/08,GC Smith,441,375,54,8,117.6
2007/08,GD McGrath,4,5,1,0,80.0
2007/08,H Das,2,5,0,0,40.0
2007/08,HH Gibbs,167,159,17,8,105.03
2007/08,Harbhajan Singh,30,17,1,3,176.47
2007/08,I Sharma,11,11,1,0,100.0
2007/08,IK Pathan,131,120,9,6,109.17
2007/08,Iqbal Abdulla,1,2,0,0,50.0
2007/08,J Arunkumar,23,24,5,0,95.83
2007/08,JA Morkel,241,168,18,14,143.45
2007/08,JDP Oram,18,13,1,1,138.46
2007/08,JH Kallis,199,188,23,4,105.85
2007/08,JR Hopes,221,152,27,8,145.39
2007/08,Joginder Sharma,16,11,1,1,145.45
2007/08,K Goel,76,79,7,4,96.2
2007/08,KC Sangakkara,320,207,41,8,154.59
2007/08,KD Karthik,145,108,13,4,134.26
2007/08,Kamran Akmal,128,78,13,8,164.1
2007/08,L Balaji,0,5,0,0,0.0
2007/08,L Ronchi,34,34,6,1,100.0
2007/08,LA Pomersbach,152,101,13,9,150.5
2007/08,LPC Silva,40,27,5,1,148.15
2007/08,LR Shukla,163,127,17,5,128.35
2007/08,LRPL Taylor,149,85,13,10,175.29
2007/08,M Kaif,176,176,14,6,100.0
2007/08,M Kartik,30,28,3,0,107.14
2007/08,M Muralitharan,0,3,0,0,0.0
2007/08,M Ntini,11,19,2,0,57.89
2007/08,M Rawat,34,39,3,1,87.18
2007/08,MA Khote,24,22,2,1,109.09
2007/08,MEK Hussey,168,100,12,11,168.0
2007/08,MF Maharoof,125,79,10,7,158.23
2007/08,MK Pandey,3,10,0,0,30.0
2007/08,MK Tiwary,104,87,16,0,119.54
2007/08,ML Hayden,189,135,24,6,140.0
2007/08,MM Patel,0,1,0,0,0.0
2007/08,MS Dhoni,414,319,38,15,129.78
2007/08,MS Gony,35,25,2,3,140.0
2007/08,MV Boucher,225,181,24,6,124.31
2007/08,Misbah-ul-Haq,117,82,10,6,142.68
2007/08,Mohammad Asif,3,6,0,0,50.0
2007/08,Mohammad Hafeez,64,84,7,2,76.19
2007/08,NK Patel,103,83,13,1,124.1
2007/08,P Kumar,112,100,10,6,112.0
2007/08,PA Patel,302,315,42,3,95.87
2007/08,PJ Sangwan,2,5,0,0,40.0
