season,player,wickets,runs_conceded,bowling_avg,economy
2007/08,A Kumble,7,314,44.86,44.86
2007/08,A Mishra,11,140,12.73,12.73
2007/08,A Nehra,12,357,29.75,29.75
2007/08,A Nel,1,31,31.0,31.0
2007/08,AA Noffke,1,41,41.0,41.0
2007/08,AB Agarkar,8,211,26.38,26.38
2007/08,AB Dinda,9,266,29.56,29.56
2007/08,AD Mascarenhas,2,31,15.5,15.5
2007/08,AM Nayar,1,69,69.0,69.0
2007/08,B Akhil,2,138,69.0,69.0
2007/08,B Geeves,1,91,91.0,91.0
2007/08,B Lee,4,118,29.5,29.5
2007/08,BAW Mendis,1,24,24.0,24.0
2007/08,CRD Fernando,10,164,16.4,16.4
2007/08,D Kalyankrishna,2,88,44.0,44.0
2007/08,D Salunkhe,1,80,80.0,80.0
2007/08,DB Ravi Teja,1,19,19.0,19.0
2007/08,DJ Bravo,11,239,21.73,21.73
2007/08,DJ Hussey,2,134,67.0,67.0
2007/08,DJ Thornely,3,40,13.33,13.33
2007/08,DL Vettori,2,54,27.0,27.0
2007/08,DNT Zoysa,2,100,50.0,50.0
2007/08,DP Vijaykumar,4,205,51.25,51.25
2007/08,DR Smith,5,83,16.6,16.6
2007/08,DS Kulkarni,11,242,22.0,22.0
2007/08,DW Steyn,10,265,26.5,26.5
2007/08,GD McGrath,12,366,30.5,30.5
2007/08,Gagandeep Singh,3,142,47.33,47.33
2007/08,Harbhajan Singh,5,84,16.8,16.8
2007/08,I Sharma,7,348,49.71,49.71
2007/08,IK Pathan,15,361,24.07,24.07
2007/08,JA Morkel,17,414,24.35,24.35
2007/08,JDP Oram,3,149,49.67,49.67
2007/08,JH Kallis,4,322,80.5,80.5
2007/08,JR Hopes,7,285,40.71,40.71
2007/08,Joginder Sharma,8,241,30.12,30.12
2007/08,L Balaji,11,293,26.64,26.64
2007/08,LR Shukla,6,126,21.0,21.0
2007/08,M Kartik,3,132,44.0,44.0
2007/08,M Muralitharan,11,416,37.82,37.82
2007/08,M Ntini,7,257,36.71,36.71
2007/08,MA Khote,2,52,26.0,26.0
2007/08,MF Maharoof,15,255,17.0,17.0
2007/08,MM Patel,14,423,30.21,30.21
2007/08,MS Gony,17,456,26.82,26.82
2007/08,Mohammad Asif,8,307,38.38,38.38
2007/08,Mohammad Hafeez,2,71,35.5,35.5
2007/08,P Amarnath,7,241,34.43,34.43
2007/08,P Kumar,11,376,34.18,34.18
2007/08,PJ Sangwan,5,221,44.2,44.2
2007/08,PM Sarvesh Kumar,1,42,42.0,42.0
2007/08,PP Chawla,17,396,23.29,23.29
2007/08,PP Ojha,11,299,27.18,27.18
2007/08,R Bhatia,6,185,30.83,30.83
2007/08,R Vinay Kumar,5,183,36.6,36.6
2007/08,RG Sharma,1,26,26.0,26.0
2007/08,RP Singh,15,459,30.6,30.6
2007/08,RR Powar,3,93,31.0,31.0
2007/08,RR Raje,5,142,28.4,28.4
2007/08,S Sreesanth,19,451,23.74,23.74
2007/08,S Vidyut,1,22,22.0,22.0
2007/08,SB Bangar,4,221,55.25,55.25
2007/08,SB Joshi,1,82,82.0,82.0
2007/08,SB Styris,3,201,67.0,67.0
2007/08,SC Ganguly,6,132,22.0,22.0
2007/08,SD Chitnis,2,62,31.0,31.0
2007/08,SK Raina,1,30,30.0,30.0
2007/08,SK Trivedi,13,407,31.31,31.31
2007/08,SK Warne,19,409,21.53,21.53
2007/08,SM Pollock,11,307,27.91,27.91
2007/08,SR Watson,17,395,23.24,23.24
2007/08,ST Jayasuriya,4,163,40.75,40.75
2007/08,Shahid Afridi,9,237,26.33,26.33
2007/08,Shoaib Akhtar,5,54,10.8,10.8
2007/08,Shoaib Malik,2,87,43.5,43.5
2007/08,Sohail Tanvir,22,275,12.5,12.5
2007/08,TM Dilshan,1,3,3.0,3.0
2007/08,Umar Gul,12,198,16.5,16.5
2007/08,V Kohli,2,62,31.0,31.0
2007/08,V Sehwag,3,134,44.67,44.67
2007/08,VRV Singh,11,425,38.64,38.64
2007/08,VY Mahesh,16,380,23.75,23.75
2007/08,WA Mota,1,36,36.0,36.0
2007/08,WPUJC Vaas,5,146,29.2,29.2
2007/08,Y Venugopal Rao,2,137,68.5,68.5
2007/08,YK Pathan,8,233,29.12,29.12
2007/08,Yuvraj Singh,3,85,28.33,28.33
2007/08,Z Khan,13,369,28.38,28.38
2009,A Flintoff,2,106,53.0,53.0
2009,A Kumble,21,353,16.81,16.81
2009,A Mishra,14,300,21.43,21.43
2009,A Nehra,19,354,18.63,18.63
2009,A Singh,9,100,11.11,11.11
2009,A Symonds,7,162,23.14,23.14
2009,AB Agarkar,6,293,48.83,48.83
2009,AB Dinda,4,195,48.75,48.75
2009,AD Mascarenhas,6,133,22.17,22.17
2009,AM Nayar,4,84,21.0,21.0
2009,AM Rahane,1,5,5.0,5.0
2009,AM Salvi,4,138,34.5,34.5
2009,Anureet Singh,2,47,23.5,23.5
2009,B Akhil,4,80,20.0,20.0
2009,B Lee,5,113,22.6,22.6
2009,BAW Mendis,3,136,45.33,45.33
2009,BJ Hodge,7,167,23.86,23.86
2009,C Nanda,2,58,29.0,29.0
2009,CH Gayle,1,146,146.0,146.0
2009,CK Langeveldt,3,15,5.0,5.0
2009,D du Preez,4,56,14.0,14.0
2009,DJ Bravo,11,265,24.09,24.09
2009,DL Vettori,7,186,26.57,26.57
2009,DP Nannes,15,384,25.6,25.6
2009,DR Smith,1,128,128.0,128.0
2009,DS Kulkarni,5,209,41.8,41.8
2009,DW Steyn,2,62,31.0,31.0
2009,FH Edwards,5,160,32.0,32.0
2009,GR Napier,1,28,28.0,28.0
2009,Harbhajan Singh,12,272,22.67,22.67
2009,Harmeet Singh,3,198,66.0,66.0
2009,I Sharma,11,303,27.55,27.55
2009,IK Pathan,17,398,23.41,23.41
2009,J Botha,3,76,25.33,25.33
2009,JA Morkel,13,330,25.38,25.38
2009,JD Ryder,3,121,40.33,40.33
2009,JDP Oram,5,139,27.8,27.8
2009,JH Kallis,6,362,60.33,60.33
2009,JP Duminy,4,96,24.0,24.0
2009,Joginder Sharma,2,57,28.5,28.5
2009,KP Appanna,2,91,45.5,45.5
2009,KP Pietersen,4,88,22.0,22.0
2009,Kamran Khan,7,148,21.14,21.14
2009,L Balaji,13,320,24.62,24.62
2009,LA Carseldine,1,6,6.0,6.0
2009,LR Shukla,3,102,34.0,34.0
2009,M Kartik,4,207,51.75,51.75
2009,M Muralitharan,14,267,19.07,19.07
2009,MC Henriques,2,107,53.5,53.5
2009,MF Maharoof,4,67,16.75,16.75
2009,MM Patel,16,245,15.31,15.31
2009,MS Gony,5,173,34.6,34.6
2009,P Kumar,13,401,30.85,30.85
2009,PJ Sangwan,15,374,24.93,24.93
2009,PP Chawla,12,319,26.58,26.58
2009,PP Ojha,18,359,19.94,19.94
2009,Pankaj Singh,2,65,32.5,32.5
2009,R Ashwin,2,14,7.0,7.0
2009,R Bhatia,10,153,15.3,15.3
2009,R Vinay Kumar,9,273,30.33,30.33
2009,RA Jadeja,6,156,26.0,26.0
2009,RE van der Merwe,9,263,29.22,29.22
2009,RG Sharma,11,163,14.82,14.82
2009,RJ Harris,6,235,39.17,39.17
2009,RP Singh,23,430,18.7,18.7
2009,RR Powar,5,138,27.6,27.6
2009,RR Raje,1,72,72.0,72.0
2009,S Sreesanth,6,196,32.67,32.67
2009,S Tyagi,5,143,28.6,28.6
2009,SB Jakati,13,225,17.31,17.31
2009,SB Styris,5,64,12.8,12.8
2009,SC Ganguly,2,98,49.0,49.0
2009,SK Raina,7,169,24.14,24.14
2009,SK Trivedi,6,152,25.33,25.33
2009,SK Warne,14,369,26.36,26.36
2009,SL Malinga,18,334,18.56,18.56
2009,SM Harwood,3,74,24.67,24.67
2009,SS Sarkar,1,34,34.0,34.0
2009,ST Jayasuriya,7,165,23.57,23.57
2009,Shoaib Ahmed,5,154,30.8,30.8
2009,T Henderson,1,41,41.0,41.0
2009,T Thushara,3,61,20.33,20.33
2009,TL Suman,5,108,21.6,21.6
2009,VRV Singh,1,83,83.0,83.0
2009,VS Malik,2,100,50.0,50.0
2009,VY Mahesh,1,25,25.0,25.0
2009,WA Mota,3,62,20.67,20.67
2009,WPUJC Vaas,4,71,17.75,17.75
2009,Y Nagar,2,20,10.0,10.0
2009,Y Venugopal Rao,4,123,30.75,30.75
2009,YA Abdulla,14,244,17.43,17.43
2009,YK Pathan,7,248,35.43,35.43
2009,Yuvraj Singh,6,142,23.67,23.67
2009,Z Khan,6,144,24.0,24.0
2009/10,A Kumble,17,422,24.82,24.82
2009/10,A Mishra,17,371,21.82,21.82
2009/10,A Mithun,1,39,39.0,39.0
2009/10,A Nehra,6,102,17.0,17.0
2009/10,A Symonds,12,385,32.08,32.08
2009/10,A Uniyal,2,67,33.5,33.5
2009/10,AB Agarkar,4,207,51.75,51.75
2009/10,AB Dinda,9,155,17.22,17.22
2009/10,AB McDonald,5,138,27.6,27.6
2009/10,AD Mascarenhas,4,66,16.5,16.5
2009/10,AD Mathews,8,317,39.62,39.62
2009/10,AG Murtaza,3,93,31.0,31.0
2009/10,AP Dole,5,114,22.8,22.8
2009/10,BAW Mendis,2,68,34.0,34.0
2009/10,BJ Hodge,2,41,20.5,20.5
2009/10,Bipul Sharma,3,94,31.33,31.33
2009/10,CH Gayle,4,153,38.25,38.25
2009/10,CK Langeveldt,5,92,18.4,18.4
2009/10,CRD Fernando,7,142,20.29,20.29
2009/10,DE Bollinger,12,213,17.75,17.75
2009/10,DJ Bravo,4,231,57.75,57.75
2009/10,DL Vettori,2,98,49.0,49.0
2009/10,DP Nannes,7,235,33.57,33.57
2009/10,DR Smith,1,36,36.0,36.0
2009/10,DS Kulkarni,1,40,40.0,40.0
2009/10,DW Steyn,15,415,27.67,27.67
2009/10,Harbhajan Singh,17,385,22.65,22.65
2009/10,Harmeet Singh,8,177,22.12,22.12
2009/10,I Sharma,7,242,34.57,34.57
2009/10,IK Pathan,15,435,29.0,29.0
2009/10,Iqbal Abdulla,1,62,62.0,62.0
2009/10,J Theron,8,204,25.5,25.5
2009/10,JA Morkel,11,410,37.27,37.27
2009/10,JD Unadkat,4,85,21.25,21.25
2009/10,JH Kallis,13,484,37.23,37.23
2009/10,JM Kemp,3,58,19.33,19.33
2009/10,JP Duminy,1,37,37.0,37.0
2009/10,Jaskaran Singh,6,142,23.67,23.67
2009/10,Joginder Sharma,2,89,44.5,44.5
2009/10,KA Pollard,15,276,18.4,18.4
2009/10,KP Appanna,1,51,51.0,51.0
2009/10,KP Pietersen,3,77,25.67,25.67
2009/10,Kamran Khan,3,53,17.67,17.67
2009/10,L Ablish,3,37,12.33,12.33
2009/10,L Balaji,7,214,30.57,30.57
2009/10,LR Shukla,3,108,36.0,36.0
2009/10,M Kartik,9,261,29.0,29.0
2009/10,M Muralitharan,16,356,22.25,22.25
2009/10,MC Henriques,1,35,35.0,35.0
2009/10,MF Maharoof,8,210,26.25,26.25
2009/10,MK Tiwary,1,11,11.0,11.0
2009/10,MM Patel,3,118,39.33,39.33
2009/10,MR Marsh,2,89,44.5,44.5
2009/10,MS Gony,1,92,92.0,92.0
2009/10,ND Doshi,1,17,17.0,17.0
2009/10,P Kumar,10,392,39.2,39.2
2009/10,PD Collingwood,5,101,20.2,20.2
2009/10,PJ Sangwan,9,260,28.89,28.89
2009/10,PP Chawla,12,371,30.92,30.92
2009/10,PP Ojha,21,439,20.9,20.9
2009/10,Pankaj Singh,2,83,41.5,41.5
2009/10,R Ashwin,13,308,23.69,23.69
2009/10,R Bhatia,3,136,45.33,45.33
2009/10,R McLaren,4,281,70.25,70.25
2009/10,R Sathish,2,81,40.5,40.5
2009/10,R Sharma,5,170,34.0,34.0
2009/10,R Vinay Kumar,16,404,25.25,25.25
2009/10,RE van der Merwe,2,27,13.5,13.5
2009/10,RG Sharma,2,159,79.5,79.5
2009/10,RJ Harris,14,239,17.07,17.07
2009/10,RP Singh,13,385,29.62,29.62
2009/10,RR Powar,3,163,54.33,54.33
2009/10,RS Bopara,5,132,26.4,26.4
2009/10,S Ladda,4,144,36.0,36.0
2009/10,S Narwal,5,186,37.2,37.2
2009/10,S Sreesanth,3,191,63.67,63.67
2009/10,S Tyagi,1,161,161.0,161.0
2009/10,SB Jakati,13,300,23.08,23.08
2009/10,SB Wagh,1,16,16.0,16.0
2009/10,SE Bond,9,225,25.0,25.0
2009/10,SJ Srivastava,6,257,42.83,42.83
2009/10,SK Raina,6,181,30.17,30.17
2009/10,SK Trivedi,11,266,24.18,24.18
2009/10,SK Warne,11,389,35.36,35.36
2009/10,SL Malinga,15,360,24.0,24.0
2009/10,SR Watson,6,185,30.83,30.83
2009/10,ST Jayasuriya,2,68,34.0,34.0
2009/10,SW Tait,10,274,27.4,27.4
2009/10,T Thushara,5,103,20.6,20.6
2009/10,TM Dilshan,3,70,23.33,23.33
2009/10,UT Yadav,6,192,32.0,32.0
2009/10,V Sehwag,3,23,7.67,7.67
2009/10,VS Malik,1,66,66.0,66.0
2009/10,VY Mahesh,1,23,23.0,23.0
2009/10,WPUJC Vaas,9,147,16.33,16.33
2009/10,Y Nagar,1,28,28.0,28.0
2009/10,YA Abdulla,1,67,67.0,67.0
2009/10,YK Pathan,5,254,50.8,50.8
2009/10,Yuvraj Singh,5,155,31.0,31.0
2009/10,Z Khan,15,388,25.87,25.87
2011,A Mishra,19,369,19.42,19.42
2011,A Mithun,5,325,65.0,65.0
2011,A Singh,9,222,24.67,24.67
2011,A Symonds,1,41,41.0,41.0
2011,AB Agarkar,8,236,29.5,29.5
2011,AB Dinda,5,159,31.8,31.8
2011,AC Thomas,11,300,27.27,27.27
2011,AG Murtaza,3,122,40.67,40.67
2011,AL Menaria,2,121,60.5,60.5
2011,AM Nayar,2,95,47.5,47.5
2011,AM Salvi,3,67,22.33,22.33
2011,AN Ahmed,5,178,35.6,35.6
2011,Anand Rajan,3,50,16.67,16.67
2011,B Kumar,3,68,22.67,22.67
2011,B Lee,5,349,69.8,69.8
2011,BA Bhatt,9,233,25.89,25.89
2011,BJ Hodge,7,77,11.0,11.0
2011,Bipul Sharma,4,80,20.0,20.0
2011,CH Gayle,8,262,32.75,32.75
2011,CK Langeveldt,5,92,18.4,18.4
2011,DE Bollinger,17,343,20.18,20.18
2011,DJ Bravo,6,159,26.5,26.5
2011,DJ Hussey,1,38,38.0,38.0
2011,DL Vettori,12,315,26.25,26.25
2011,DP Nannes,2,31,15.5,15.5
2011,DS Kulkarni,5,156,31.2,31.2
2011,DT Christian,11,357,32.45,32.45
2011,DW Steyn,14,304,21.71,21.71
2011,Harbhajan Singh,14,373,26.64,26.64
2011,Harmeet Singh,3,53,17.67,17.67
2011,I Sharma,11,324,29.45,29.45
2011,IK Pathan,11,353,32.09,32.09
2011,Iqbal Abdulla,16,313,19.56,19.56
2011,J Botha,7,242,34.57,34.57
2011,J Syed Mohammad,5,128,25.6,25.6
2011,JA Morkel,15,390,26.0,26.0
2011,JD Ryder,4,119,29.75,29.75
2011,JD Unadkat,6,151,25.17,25.17
2011,JDP Oram,1,46,46.0,46.0
2011,JE Taylor,6,167,27.83,27.83
2011,JEC Franklin,3,99,33.0,33.0
2011,JH Kallis,7,170,24.29,24.29
2011,JJ van der Wath,3,134,44.67,44.67
2011,JP Duminy,4,149,37.25,37.25
